data,quantidade_pro,mm,temp_mean
2022-01-01,5635,0,26.713043478260868
2022-01-02,7155,0,24.8125
2022-01-03,4966,4,23.813636363636363
2022-01-04,5217,3,14.345833333333333
2022-01-05,5701,7,20.3125
2022-01-06,5900,0,11.35
2022-01-07,8735,0,14.156521739130437
2022-01-08,7556,0,16.5125
2022-01-09,6204,0,19.3125
2022-01-10,4640,0,17.743478260869566
2022-01-11,4792,0,10.508695652173913
2022-01-12,4966,0,22.61304347826087
2022-01-13,5123,2,28.858333333333334
2022-01-14,8445,0,26.079166666666666
2022-01-15,9937,9,23.421739130434784
2022-01-16,7462,0,18.166666666666668
2022-01-17,4637,0,18.6375
2022-01-18,5384,0,10.299999999999999
2022-01-19,5908,0,20.208333333333332
2022-01-20,5881,0,20.287499999999998
2022-01-21,6960,0,16.866666666666667
2022-01-22,6928,1,18.095833333333335
2022-01-23,6399,0,11.9625
2022-01-24,4616,3,24.0625
2022-01-25,4898,0,22.575
2022-01-26,5428,1,27.245833333333334
2022-01-27,5690,8,24.3125
2022-01-28,6244,0,19.325
2022-01-29,6544,0,16.033333333333335
2022-01-30,6333,7,8.933333333333334
2022-01-31,4643,2,22.4875
2022-02-01,5222,0,21.375
2022-02-02,5738,0,13.362499999999999
2022-02-03,6197,0,17.441666666666666
2022-02-04,9159,25,15.666666666666666
2022-02-05,8316,4,23.641666666666666
2022-02-06,8053,0,22.575
2022-02-07,4765,0,22.741666666666664
2022-02-08,5476,0,24.099999999999998
2022-02-09,5931,0,19.779166666666665
2022-02-10,6320,0,14.3125
2022-02-11,8766,0,12.275
2022-02-12,9244,0,22.47083333333333
2022-02-13,7566,0,19.1125
2022-02-14,4238,0,9.904166666666667
2022-02-15,5095,0,17.829166666666666
2022-02-16,5681,0,17.245833333333334
2022-02-17,5793,0,24.400000000000002
2022-02-18,8073,2,22.162499999999998
2022-02-19,9442,0,22.308333333333334
2022-02-20,7569,0,25.479166666666668
2022-02-21,4220,3,20.066666666666666
2022-02-22,4822,0,15.595833333333333
2022-02-23,5280,0,16.516666666666666
2022-02-24,5897,7,21.079166666666666
2022-02-25,7816,19,13.141666666666666
2022-02-26,8017,0,13.308333333333332
2022-02-27,6741,0,20.220833333333335
2022-02-28,5719,5,18.071428571428573
2022-03-01,5569,0,23.425
2022-03-02,4803,4,21.629166666666666
2022-03-03,5606,0,21.678260869565218
2022-03-04,7709,0,27.125
2022-03-05,7700,0,21.879166666666666
2022-03-06,7588,0,14.299999999999999
2022-03-07,5031,0,16.599999999999998
2022-03-08,7155,7,20.579166666666666
2022-03-09,5750,0,10.65
2022-03-10,6005,3,14.5375
2022-03-11,7009,2,18.8125
2022-03-12,7342,0,18.139130434782608
2022-03-13,7887,0,26.281818181818185
2022-03-14,3975,0,22.9375
2022-03-15,5177,0,19.75
2022-03-16,5179,0,27.3625
2022-03-17,5722,0,19.858333333333334
2022-03-18,7253,16,14.6875
2022-03-19,6679,4,15.299999999999999
2022-03-20,6137,0,20.1375
2022-03-21,4075,0,13.295833333333334
2022-03-22,4704,0,15.820833333333333
2022-03-23,5545,20,14.754166666666668
2022-03-24,6001,40,17.3625
2022-03-25,6012,4,27.12173913043478
2022-03-26,6291,0,22.573913043478264
2022-03-27,6071,0,20.356521739130436
2022-03-28,3841,0,24.558333333333334
2022-03-29,4586,0,19.349999999999998
2022-03-30,5831,7,15.041666666666666
2022-03-31,5640,0,15.3125
2022-04-01,5810,0,20.454166666666666
2022-04-02,6306,0,15.008333333333333
2022-04-03,6343,0,21.0
2022-04-04,4596,22,16.816666666666666
2022-04-05,5331,0,17.733333333333334
2022-04-06,6042,0,27.754166666666666
2022-04-07,5878,20,21.416666666666668
2022-04-08,6006,3,22.666666666666668
2022-04-09,6853,0,23.84583333333333
2022-04-10,7966,0,19.341666666666665
2022-04-11,4465,10,16.525000000000002
2022-04-12,5032,7,13.8375
2022-04-13,5618,0,20.854166666666668
2022-04-14,7659,0,13.954166666666666
2022-04-15,8492,0,24.204166666666666
2022-04-16,7878,0,16.3125
