data,Delivery_Actual,Local_Actual,Pickup_Actual,Delivery,Local,Pickup
2023-01-01,2036,30,413,2343.8984375,118.265625,524.4765625
2023-01-02,1532,89,296,1569.5703125,67.5625,319.7109375
2023-01-03,1710,57,297,1624.171875,75.1796875,346.5703125
2023-01-04,1505,99,358,1839.7734375,100.0390625,424.265625
2023-01-05,1772,119,329,1846.671875,116.046875,453.75
2023-01-06,2509,157,517,2572.25,145.7578125,639.4921875
2023-01-07,2948,171,701,2714.34375,160.1484375,673.578125
2023-01-08,2445,83,440,2533.2578125,122.75,558.546875
2023-01-09,1455,92,254,1501.96875,68.6796875,334.6328125
2023-01-10,1733,68,277,1616.453125,72.6640625,344.734375
2023-01-11,1621,105,376,1806.9453125,111.1171875,423.4375
2023-01-12,1696,107,375,1857.3984375,113.2734375,445.8359375
2023-01-13,2381,151,555,2472.4140625,141.546875,594.6171875
2023-01-14,2583,125,673,2637.03125,156.734375,670.4140625
2023-01-15,2340,74,513,2497.7265625,116.453125,549.640625
2023-01-16,1310,71,279,1487.5390625,70.0859375,334.3359375
2023-01-17,1661,57,272,1641.8125,72.0,351.109375
2023-01-18,1543,54,311,1825.1875,94.640625,427.328125
2023-01-19,1529,111,336,1874.0078125,110.96875,441.859375
2023-01-20,2225,134,506,2634.390625,135.5625,690.984375
2023-01-21,2764,154,655,3248.2578125,150.1171875,809.65625
2023-01-22,2158,75,464,2498.671875,121.7734375,548.25
2023-01-23,1308,59,223,1527.7578125,66.25,322.546875
2023-01-24,1313,90,280,1569.890625,77.8203125,360.640625
2023-01-25,1453,66,300,1660.296875,90.6875,379.84375
2023-01-26,1557,96,330,1889.125,104.984375,432.8046875
2023-01-27,2157,109,571,2348.4921875,119.0,580.7421875
2023-01-28,2531,140,631,2340.6640625,133.3125,548.9609375
2023-01-29,2418,51,442,2534.3359375,122.1953125,564.125
2023-01-30,1261,72,252,1510.671875,68.8203125,329.3046875
2023-01-31,1367,76,296,1556.34375,80.5859375,364.3515625
2023-02-01,1408,64,321,1668.8125,98.4609375,407.71875
2023-02-02,1632,98,353,1832.921875,113.96875,443.4921875
2023-02-03,2602,95,652,2712.6484375,166.9375,662.796875
2023-02-04,2701,143,670,2878.9921875,169.2265625,707.125
2023-02-05,2262,58,462,2809.046875,143.8046875,592.5
2023-02-06,1480,69,271,1436.5234375,71.8125,320.984375
2023-02-07,1562,47,306,1614.765625,77.453125,366.015625
2023-02-08,1570,70,334,1677.1953125,103.2578125,409.9921875
2023-02-09,1726,104,367,1831.3671875,113.46875,443.078125
2023-02-10,2241,137,563,2600.0625,154.375,661.203125
2023-02-11,2740,111,662,2845.96875,182.53125,693.0078125
2023-02-12,2356,42,423,2315.1875,98.9140625,473.7578125
2023-02-13,1251,48,237,1484.8515625,70.5859375,329.875
2023-02-14,1525,44,273,1635.703125,75.3359375,348.828125
2023-02-15,1390,62,328,1838.3671875,99.6015625,424.0859375
2023-02-16,1537,75,379,1840.3671875,114.453125,449.7421875
2023-02-17,2257,105,577,2612.4375,151.34375,619.6640625
2023-02-18,2537,127,682,2705.03125,179.6796875,715.34375
2023-02-19,2348,59,414,2492.4765625,126.03125,532.203125
2023-02-20,1962,69,365,2197.09375,107.921875,499.0234375
2023-02-21,1844,45,413,2466.6953125,113.140625,503.4765625
2023-02-22,1174,55,308,1804.015625,111.2890625,427.375
2023-02-23,1621,60,320,1881.65625,110.3828125,441.5703125
2023-02-24,2158,110,563,2474.7421875,144.328125,597.671875
2023-02-25,2606,137,740,2810.25,176.4140625,688.140625
2023-02-26,2174,62,530,2735.984375,136.140625,583.875
2023-02-27,1183,36,250,1345.2421875,86.0078125,311.7265625
2023-02-28,1397,52,295,1563.203125,81.546875,362.6953125
2023-03-01,1348,84,369,1804.9453125,109.1171875,433.3671875
2023-03-02,1698,76,346,1824.59375,111.6171875,448.5546875
2023-03-03,2682,99,630,2595.6953125,148.6875,614.921875
2023-03-04,2988,157,752,2930.7734375,170.6953125,723.828125
2023-03-05,2549,83,479,2788.4375,141.4609375,580.9375
2023-03-06,1604,61,262,1374.3359375,84.703125,307.0390625
2023-03-07,1695,76,334,1520.234375,86.2421875,360.046875
2023-03-08,2468,87,569,1838.1875,92.9375,434.5546875
2023-03-09,1754,64,387,1839.828125,109.203125,436.046875
2023-03-10,2516,120,583,2567.515625,154.9609375,653.8515625
2023-03-11,2812,120,642,2816.8046875,180.109375,686.5390625
2023-03-12,2507,59,483,2655.8984375,132.5390625,554.9765625
2023-03-13,1273,55,241,1375.140625,78.34375,315.84375
2023-03-14,1307,51,301,1528.5078125,81.5390625,358.3046875
2023-03-15,1499,60,340,1820.890625,99.8671875,431.3203125
2023-03-16,1946,93,358,1798.671875,115.0234375,453.875
2023-03-17,2306,101,576,2684.9921875,145.53125,695.03125
2023-03-18,2640,167,615,2903.703125,189.015625,704.640625
2023-03-19,2467,56,432,2719.5234375,146.4765625,574.5390625
2023-03-20,1182,44,227,1415.9375,78.6875,319.4609375
2023-03-21,1303,59,248,1573.4921875,82.4375,360.8046875
2023-03-22,1422,75,316,1661.53125,96.8671875,406.7265625
2023-03-23,1530,68,356,1785.7109375,114.4609375,450.65625
2023-03-24,2339,111,574,2686.515625,145.2265625,694.390625
2023-03-25,2881,94,607,2958.625,168.296875,734.859375
2023-03-26,2178,50,455,2753.25,137.2265625,573.921875
2023-03-27,1136,51,232,1267.1171875,92.890625,295.9296875
2023-03-28,1251,47,247,1510.1171875,87.1953125,361.671875
2023-03-29,1443,49,315,1776.71875,105.4375,426.5703125
2023-03-30,1503,59,360,1845.46875,106.53125,438.15625
2023-03-31,2344,107,570,2593.390625,152.6640625,628.6015625
2023-04-01,2812,135,718,2731.140625,171.75,677.4375
2023-04-02,2056,47,452,2522.5625,128.921875,510.9375
2023-04-03,1166,71,239,1278.71875,88.3203125,297.2265625
2023-04-04,1447,35,302,1468.203125,100.3046875,360.65625
2023-04-05,1910,49,356,1814.671875,101.7265625,420.6875
2023-04-06,2908,64,605,2454.4375,134.0078125,576.9453125
2023-04-07,2886,42,603,2522.5390625,152.8984375,620.6484375
2023-04-08,2498,71,604,2632.578125,175.2734375,654.515625
2023-04-09,2017,56,407,2741.015625,133.375,572.046875
2023-04-10,1245,62,227,1306.3984375,85.5625,298.6875
2023-04-11,1419,38,261,1491.7421875,91.5546875,361.6171875
2023-04-12,1464,62,347,1804.9609375,112.984375,428.8359375
2023-04-13,1480,57,316,1814.9921875,114.953125,445.1875
2023-04-14,2217,111,559,2334.578125,146.9921875,611.265625
2023-04-15,2756,147,671,2703.8046875,169.703125,678.53125
2023-04-16,2391,28,377,2770.1484375,123.203125,575.171875
2023-04-17,1222,48,245,1513.6015625,79.4296875,307.7578125
2023-04-18,1273,37,275,1447.984375,87.6796875,347.015625
2023-04-19,1417,43,318,1662.625,105.390625,409.046875
