data,Delivery_Actual,Delivery
2023-01-01,2036,2643.1174997632115
2023-01-02,1532,1691.5957063328756
2023-01-03,1710,1738.8112418896137
2023-01-04,1505,1838.7601013658423
2023-01-05,1772,2038.9020912368755
2023-01-06,2509,2283.6560098472874
2023-01-07,2948,2524.696280860479
2023-01-08,2445,2757.0073445682838
2023-01-09,1455,1343.7955472673193
2023-01-10,1733,1705.780718799187
2023-01-11,1621,1794.7793633373399
2023-01-12,1696,2014.9795108962155
2023-01-13,2381,2448.4869327580864
2023-01-14,2583,2574.7855016646868
2023-01-15,2340,2789.082312594064
2023-01-16,1310,1358.1772553378048
2023-01-17,1661,1769.906431682113
2023-01-18,1543,2019.7679664326076
2023-01-19,1529,2168.8745904604943
2023-01-20,2225,2210.6030469357256
2023-01-21,2764,2746.8519215413407
2023-01-22,2158,2970.8552877477273
2023-01-23,1308,1495.019214129993
2023-01-24,1313,1612.5009102582842
2023-01-25,1453,1760.0668181063666
2023-01-26,1557,1940.2259477687953
2023-01-27,2157,2166.465407771814
2023-01-28,2531,2317.9577222826692
2023-01-29,2418,2747.9112242555116
2023-01-30,1261,1358.044867548005
2023-01-31,1367,1573.9206772442064
2023-02-01,1408,1804.8727864345756
2023-02-02,1632,2021.0324093307868
2023-02-03,2602,2514.9267772719377
2023-02-04,2701,2792.352231075962
2023-02-05,2262,2790.0364814249706
2023-02-06,1480,1320.3532808471844
2023-02-07,1562,1564.3595528127025
2023-02-08,1570,1781.380449883155
2023-02-09,1726,2004.4137515055404
2023-02-10,2241,2272.9265978298927
2023-02-11,2740,2480.904563789168
2023-02-12,2356,2588.7493695762078
2023-02-13,1251,1386.743699280462
2023-02-14,1525,1709.3862580398054
2023-02-15,1390,1850.6019311586115
2023-02-16,1537,2036.3230295107774
2023-02-17,2257,2520.9015380243086
2023-02-18,2537,2575.2235637617773
2023-02-19,2348,3011.711693602644
2023-02-20,1962,1503.4554793614022
2023-02-21,1844,1879.7503968613323
2023-02-22,1174,1802.8283987350503
2023-02-23,1621,2266.321751246628
2023-02-24,2158,2551.213665258872
2023-02-25,2606,2534.6502398172693
2023-02-26,2174,2807.415678748101
2023-02-27,1183,1285.385209169213
2023-02-28,1397,1558.6918295723485
2023-03-01,1348,1812.5309988007366
2023-03-02,1698,2211.3114148187315
2023-03-03,2682,2569.0273774440484
2023-03-04,2988,2767.8942429861067
2023-03-05,2549,2799.9334885911303
2023-03-06,1604,1332.4364085245747
2023-03-07,1695,1569.9088538779254
2023-03-08,2468,1907.3508977475872
2023-03-09,1754,2241.610197365882
2023-03-10,2516,2278.8839595391637
2023-03-11,2812,2491.6856466985223
2023-03-12,2507,2734.9720366435336
2023-03-13,1273,1353.5897759181362
2023-03-14,1307,1617.425391834884
2023-03-15,1499,1853.0108646649735
2023-03-16,1946,2038.371641317573
2023-03-17,2306,2244.4037719044695
2023-03-18,2640,2452.02909070704
2023-03-19,2467,2656.4171385739965
2023-03-20,1182,1363.6925665151361
2023-03-21,1303,1590.8455029711452
2023-03-22,1422,1799.7711567752056
2023-03-23,1530,2023.0699594936655
2023-03-24,2339,2233.699312640565
2023-03-25,2881,2709.580772005071
2023-03-26,2178,2924.23690870702
2023-03-27,1136,1276.6686736475954
2023-03-28,1251,1566.1075667587238
2023-03-29,1443,1805.1998968553842
2023-03-30,1503,2260.6895965510703
2023-03-31,2344,2300.6997960354024
2023-04-01,2812,2564.321862400946
2023-04-02,2056,2845.135662902811
2023-04-03,1166,1288.4595815448938
2023-04-04,1447,1563.5859868550863
2023-04-05,1910,1896.0456944592038
2023-04-06,2908,2332.9110541979476
2023-04-07,2886,2843.3738786385993
2023-04-08,2498,2585.250841889967
2023-04-09,2017,2817.8771968908486
2023-04-10,1245,1312.932725695808
2023-04-11,1419,1560.0503782735377
2023-04-12,1464,1798.0391488972157
2023-04-13,1480,2049.407538151029
2023-04-14,2217,2357.148164014135
2023-04-15,2756,2575.8757690208076
2023-04-16,2391,3033.325134981896
2023-04-17,1222,1335.252456373668
2023-04-18,1273,1513.2509837134687
2023-04-19,1417,1766.978641664119
2023-04-20,1931,2271.7048245359756
2023-04-21,2449,2706.601060200228
2023-04-22,2429,2592.758969894326
2023-04-23,2023,2856.006820753487
2023-04-24,1166,1243.3148150039726
2023-04-25,1230,1619.6688653855133
2023-04-26,1388,1913.4877373706777
2023-04-27,1403,2042.433926876399
2023-04-28,2183,2313.035626797828
2023-04-29,2652,2585.156663571487
2023-04-30,2179,3008.312341746437
2023-05-01,2721,1594.6085263393493
2023-05-02,1219,1551.1974842347856
2023-05-03,1414,2064.8525998076443
2023-05-04,2040,2207.0502636161305
2023-05-05,2718,2339.862129369402
2023-05-06,3411,2568.48917564505
2023-05-07,2694,2940.484408759973
2023-05-08,1460,1389.812561088887
2023-05-09,1447,1480.0087405445781
2023-05-10,1611,1758.1990084526062
2023-05-11,1654,2045.045472591683
2023-05-12,2374,2328.552032795147
2023-05-13,2899,2584.355747089033
2023-05-14,2126,2842.827239704855
2023-05-15,1151,1185.721986033329
2023-05-16,1297,1467.901187510772
2023-05-17,1439,1748.1603987326137
2023-05-18,1523,2027.5936728426434
2023-05-19,2217,2306.0539835832187
2023-05-20,2728,2581.6696319895022
2023-05-21,2425,2871.810796426373
2023-05-22,866,1244.048536857706
2023-05-23,1200,1512.0887793611905
2023-05-24,1383,1791.7873119609296
2023-05-25,1392,2051.8819595875425
2023-05-26,2168,2317.953932213955
2023-05-27,2983,2759.0370530990936
2023-05-28,2188,2878.260614351627
2023-05-29,1028,1210.1664426771767
2023-05-30,1502,1485.6848902652423
2023-05-31,1532,1759.6983542749288
2023-06-01,1609,2028.466636487056
2023-06-02,2420,2305.901314645238
2023-06-03,3010,2589.0741913897145
2023-06-04,2375,2848.421731352888
2023-06-05,1360,1188.9128902367518
2023-06-06,1761,1476.106154129858
2023-06-07,2396,1944.9163818146715
2023-06-08,2730,2399.2675445702553
2023-06-09,2287,2311.521582725545
2023-06-10,2877,2572.6962394589814
2023-06-11,2758,3111.4043247081977
2023-06-12,2352,1349.6015414360152
2023-06-13,1352,1666.67852632821
2023-06-14,1760,1848.8545171675362
2023-06-15,1902,2152.8570573590428
2023-06-16,2593,2419.966248151672
2023-06-17,3048,2629.3641189097607
2023-06-18,2350,2892.0146447577586
2023-06-19,1189,1321.4432036729472
2023-06-20,1251,1478.3085604762118
2023-06-21,1574,1756.9185842991249
2023-06-22,1699,2183.1642214918265
2023-06-23,2543,2193.5483029467227
2023-06-24,2718,2587.803707676637
2023-06-25,2215,2835.9708177372518
2023-06-26,1067,1254.3188911868488
2023-06-27,1289,1488.633045228875
2023-06-28,1316,1759.5963267987922
2023-06-29,1549,2036.2201088315364
