data,Pickup_Actual,Pickup
2023-01-01,413,521.0272675853366
2023-01-02,296,331.99408598832144
2023-01-03,297,387.0938611098003
2023-01-04,358,445.57843937539576
2023-01-05,329,489.6840249496509
2023-01-06,517,543.8194972258457
2023-01-07,701,596.3918546973523
2023-01-08,440,632.096037417965
2023-01-09,254,331.6549828410807
2023-01-10,277,438.106891565361
2023-01-11,376,436.91840889729554
2023-01-12,375,479.5741169863484
2023-01-13,555,581.5933545061961
2023-01-14,673,613.4696322371643
2023-01-15,513,632.230962722595
2023-01-16,279,330.2504598505034
2023-01-17,272,428.98775045418313
2023-01-18,311,484.4790874069107
2023-01-19,336,511.68878726081095
2023-01-20,506,509.63598880934944
2023-01-21,655,682.4874732247869
2023-01-22,464,681.824314721248
2023-01-23,223,344.35045152097257
2023-01-24,280,387.06301313902844
2023-01-25,300,418.3018429163767
2023-01-26,330,450.4354644490577
2023-01-27,571,491.8022142080228
2023-01-28,631,516.3010593942863
2023-01-29,442,616.2123490716139
2023-01-30,252,329.61998716699105
2023-01-31,296,385.0582451714857
2023-02-01,321,417.67257750502046
2023-02-02,353,461.7737865381841
2023-02-03,652,611.0333230518928
2023-02-04,670,647.7378225746137
2023-02-05,462,637.3132044844713
2023-02-06,271,316.7475965009282
2023-02-07,306,373.5039586436089
2023-02-08,334,417.6977462533489
2023-02-09,367,465.7989419942189
2023-02-10,563,522.8814840125394
2023-02-11,662,553.8921689203497
2023-02-12,423,554.303664817525
2023-02-13,237,329.8456139363605
2023-02-14,273,400.19478973218486
2023-02-15,328,433.5646085070166
2023-02-16,379,487.1126771396879
2023-02-17,577,603.2287277232782
2023-02-18,682,648.3251819894427
2023-02-19,414,716.285920027186
2023-02-20,365,270.89965352145543
2023-02-21,413,440.4726969759419
2023-02-22,308,425.25824807418985
2023-02-23,320,529.3972406515575
2023-02-24,563,585.3831677542792
2023-02-25,740,580.7951785892396
2023-02-26,530,641.7886254497043
2023-02-27,250,312.59008750012975
2023-02-28,295,373.22958780934135
2023-03-01,369,419.9254098090509
2023-03-02,346,512.904673907759
2023-03-03,630,588.762356350578
2023-03-04,752,630.315942771116
2023-03-05,479,624.178019019485
2023-03-06,262,298.35213995254287
2023-03-07,334,362.73549454554797
2023-03-08,569,461.01341382502426
2023-03-09,387,504.4090854661848
2023-03-10,583,513.084958705519
2023-03-11,642,549.0753326935887
2023-03-12,483,595.5968732068567
2023-03-13,241,305.18682131935805
2023-03-14,301,367.8377482936539
2023-03-15,340,422.02312849030596
2023-03-16,358,461.2051742615427
2023-03-17,576,499.107830108894
2023-03-18,615,537.8197982869451
2023-03-19,432,575.018742960861
2023-03-20,227,317.73821958191576
2023-03-21,248,364.3982605857699
2023-03-22,316,413.47365564941634
2023-03-23,356,461.02099957439134
2023-03-24,574,499.98364752616936
2023-03-25,607,625.5670337538846
2023-03-26,455,657.786350847683
2023-03-27,232,298.4988305822902
2023-03-28,247,363.79944791693026
2023-03-29,315,418.45845348420096
2023-03-30,360,512.3353615301961
2023-03-31,570,530.3542819844934
2023-04-01,718,580.714024360192
2023-04-02,452,668.2267171156703
2023-04-03,239,290.06426735805763
2023-04-04,302,357.14507350922526
2023-04-05,356,408.24344049355534
2023-04-06,605,506.9030386631872
2023-04-07,603,630.0644742197627
2023-04-08,604,599.9593810279355
2023-04-09,407,635.2980659216731
2023-04-10,227,293.93763786035623
2023-04-11,261,355.36867774802187
2023-04-12,347,409.93963949124253
2023-04-13,316,478.24626735018836
2023-04-14,559,551.0286034494596
2023-04-15,671,588.892537377161
2023-04-16,377,716.9254368889466
2023-04-17,245,237.9197206047005
2023-04-18,275,354.3290491186833
2023-04-19,318,434.5069341474059
2023-04-20,523,545.5573667849919
2023-04-21,555,658.8608488733722
2023-04-22,633,623.2458956375865
2023-04-23,432,672.6002875379345
2023-04-24,207,284.5968155525419
2023-04-25,238,330.26202596657527
2023-04-26,328,426.2018015446416
2023-04-27,345,501.5524413765189
2023-04-28,509,566.1060842913971
2023-04-29,640,614.0471220191879
2023-04-30,495,682.3690530103185
2023-05-01,557,330.54455341998414
2023-05-02,252,343.3027651192582
2023-05-03,274,360.72378521451503
2023-05-04,295,463.78791933116156
2023-05-05,620,538.6012769662909
2023-05-06,753,565.3379858118665
2023-05-07,412,650.5683557156617
2023-05-08,259,273.70477440341585
2023-05-09,262,350.3585190915018
2023-05-10,288,429.1779801851776
2023-05-11,314,502.66208273926713
2023-05-12,549,569.8503323464423
2023-05-13,616,635.1708059407358
2023-05-14,459,697.7400282510109
2023-05-15,230,273.29724992049313
2023-05-16,293,354.6277435114771
2023-05-17,320,425.47280278447386
2023-05-18,345,498.81579390751324
2023-05-19,599,563.6877815629673
2023-05-20,721,630.1309695139867
2023-05-21,418,685.4234774284987
2023-05-22,184,248.07248708094886
2023-05-23,273,344.06271653135644
2023-05-24,336,412.40228188211233
2023-05-25,339,475.8746520113689
2023-05-26,563,529.8529200576512
2023-05-27,679,502.98598238164834
2023-05-28,473,686.726740340057
2023-05-29,233,268.64466551476085
2023-05-30,280,349.6136613247955
2023-05-31,370,423.36409113546165
2023-06-01,354,493.11755265259586
2023-06-02,593,559.3599440333594
2023-06-03,742,617.8048914436181
2023-06-04,492,675.3113105112791
2023-06-05,276,262.8469756591952
2023-06-06,339,340.25873273714564
2023-06-07,557,453.50023946235956
2023-06-08,536,553.5013976274872
2023-06-09,561,544.4651756828943
2023-06-10,676,582.2835880865482
2023-06-11,461,738.1908865284057
2023-06-12,619,272.4660612591501
2023-06-13,223,308.9522991606178
2023-06-14,291,386.2673455977557
2023-06-15,312,491.00781774177733
2023-06-16,558,553.3483886616459
2023-06-17,706,625.9254660530994
2023-06-18,502,674.820939857799
2023-06-19,243,276.42775024371707
2023-06-20,305,348.5177313734251
2023-06-21,318,418.0302711709282
2023-06-22,386,484.09426229968074
2023-06-23,544,484.9139279599083
2023-06-24,661,593.8450941843291
2023-06-25,455,633.8621758473762
2023-06-26,255,264.5497374665026
2023-06-27,297,338.5144373430439
2023-06-28,302,411.9781987923158
2023-06-29,383,494.34263862481976
