data,Delivery_Actual,Delivery
2023-01-01,2036,2312.3916
2023-01-02,1532,1685.686
2023-01-03,1710,1736.0396
2023-01-04,1505,1715.0029
2023-01-05,1772,1731.4819
2023-01-06,2509,2695.8186
2023-01-07,2948,3057.702
2023-01-08,2445,2636.983
2023-01-09,1455,1427.2151
2023-01-10,1733,1597.739
2023-01-11,1621,1630.7329
2023-01-12,1696,1781.0609
2023-01-13,2381,2417.3967
2023-01-14,2583,2682.1926
2023-01-15,2340,2564.608
2023-01-16,1310,1402.1063
2023-01-17,1661,1539.4592
2023-01-18,1543,1610.2555
2023-01-19,1529,1685.9617
2023-01-20,2225,2582.6235
2023-01-21,2764,2900.7495
2023-01-22,2158,2635.4792
2023-01-23,1308,1463.533
2023-01-24,1313,1517.7599
2023-01-25,1453,1669.2874
2023-01-26,1557,1693.1096
2023-01-27,2157,2407.0894
2023-01-28,2531,2540.441
2023-01-29,2418,2555.8188
2023-01-30,1261,1458.9352
2023-01-31,1367,1531.1252
2023-02-01,1408,1641.5009
2023-02-02,1632,1664.7026
2023-02-03,2602,2480.6863
2023-02-04,2701,3152.3298
2023-02-05,2262,2544.963
2023-02-06,1480,1277.1771
2023-02-07,1562,1616.1635
2023-02-08,1570,1610.3613
2023-02-09,1726,1739.956
2023-02-10,2241,2596.0925
2023-02-11,2740,2557.3352
2023-02-12,2356,2521.7231
2023-02-13,1251,1383.916
2023-02-14,1525,1505.4036
2023-02-15,1390,1554.5973
2023-02-16,1537,1652.0656
2023-02-17,2257,2320.3396
2023-02-18,2537,2543.9846
2023-02-19,2348,2382.234
2023-02-20,1962,2129.7212
2023-02-21,1844,2297.275
2023-02-22,1174,1751.6566
2023-02-23,1621,1768.6875
2023-02-24,2158,2407.5225
2023-02-25,2606,2526.9167
2023-02-26,2174,2456.591
2023-02-27,1183,1245.5864
2023-02-28,1397,1394.7588
2023-03-01,1348,1640.8148
2023-03-02,1698,1699.8342
2023-03-03,2682,2459.4878
2023-03-04,2988,3187.6318
2023-03-05,2549,2537.0872
2023-03-06,1604,1388.7468
2023-03-07,1695,1514.9612
2023-03-08,2468,1646.5203
2023-03-09,1754,1785.3264
2023-03-10,2516,2434.5107
2023-03-11,2812,2991.9277
2023-03-12,2507,2501.626
2023-03-13,1273,1298.5638
2023-03-14,1307,1436.8262
2023-03-15,1499,1547.1709
2023-03-16,1946,1739.7617
2023-03-17,2306,2595.0747
2023-03-18,2640,2493.4844
2023-03-19,2467,2534.069
2023-03-20,1182,1391.6958
2023-03-21,1303,1559.665
2023-03-22,1422,1566.8514
2023-03-23,1530,1652.4238
2023-03-24,2339,2487.2393
2023-03-25,2881,2699.7146
2023-03-26,2178,2540.6802
2023-03-27,1136,1234.4097
2023-03-28,1251,1417.1777
2023-03-29,1443,1659.9436
2023-03-30,1503,1627.2986
2023-03-31,2344,2316.347
2023-04-01,2812,2400.9888
2023-04-02,2056,2248.204
2023-04-03,1166,1460.8918
2023-04-04,1447,1416.7197
2023-04-05,1910,1604.284
2023-04-06,2908,2504.5413
2023-04-07,2886,2783.6323
2023-04-08,2498,2423.5437
2023-04-09,2017,2293.4395
2023-04-10,1245,1321.0264
2023-04-11,1419,1377.6855
2023-04-12,1464,1572.3058
2023-04-13,1480,1672.9445
2023-04-14,2217,2183.9746
2023-04-15,2756,2697.611
2023-04-16,2391,2545.8364
2023-04-17,1222,1356.8496
2023-04-18,1273,1373.5212
2023-04-19,1417,1466.6738
2023-04-20,1931,2370.2231
2023-04-21,2449,2309.1455
2023-04-22,2429,2461.0356
2023-04-23,2023,2392.7883
2023-04-24,1166,1155.5476
2023-04-25,1230,1442.3093
2023-04-26,1388,1507.177
2023-04-27,1403,1601.1704
2023-04-28,2183,2211.8816
2023-04-29,2652,2489.5417
2023-04-30,2179,2364.4106
2023-05-01,2721,2369.6653
2023-05-02,1219,1526.65
2023-05-03,1414,1614.4226
2023-05-04,2040,1498.3308
2023-05-05,2718,2269.6548
2023-05-06,3411,2615.9785
2023-05-07,2694,2632.1653
2023-05-08,1460,1609.8323
2023-05-09,1447,1405.9606
2023-05-10,1611,1512.53
2023-05-11,1654,1646.4355
2023-05-12,2374,2489.452
2023-05-13,2899,2673.0498
2023-05-14,2126,2477.2476
2023-05-15,1151,1196.0621
2023-05-16,1297,1331.3036
2023-05-17,1439,1533.9036
2023-05-18,1523,1606.5762
2023-05-19,2217,2264.0356
2023-05-20,2728,2731.225
2023-05-21,2425,2335.0933
2023-05-22,866,1319.0414
2023-05-23,1200,1370.3032
2023-05-24,1383,1518.6157
2023-05-25,1392,1609.9452
2023-05-26,2168,2221.0903
2023-05-27,2983,2517.2095
2023-05-28,2188,2380.8696
2023-05-29,1028,1169.2563
2023-05-30,1502,1346.5339
2023-05-31,1532,1617.0409
2023-06-01,1609,1636.4155
2023-06-02,2420,2325.8472
2023-06-03,3010,2545.948
2023-06-04,2375,2330.09
2023-06-05,1360,1153.6129
2023-06-06,1761,1323.4097
2023-06-07,2396,2120.7397
2023-06-08,2730,2696.353
2023-06-09,2287,2350.6638
2023-06-10,2877,2379.561
2023-06-11,2758,2450.0173
2023-06-12,2352,1182.0853
2023-06-13,1352,1499.4146
2023-06-14,1760,1486.7333
2023-06-15,1902,1524.1533
2023-06-16,2593,2371.1938
2023-06-17,3048,2875.307
2023-06-18,2350,2530.4214
2023-06-19,1189,1262.7355
2023-06-20,1251,1341.5609
2023-06-21,1574,1500.1306
2023-06-22,1699,1692.9277
2023-06-23,2543,2554.9956
2023-06-24,2718,2502.8093
2023-06-25,2215,2359.8025
2023-06-26,1067,1221.3652
2023-06-27,1289,1314.2516
2023-06-28,1316,1647.6254
2023-06-29,1549,1616.9424
