data,Local_Actual,Local
2023-01-01,30,131.36902
2023-01-02,89,66.34228
2023-01-03,57,89.192856
2023-01-04,99,84.73393
2023-01-05,119,98.98385
2023-01-06,157,111.97986
2023-01-07,171,128.20322
2023-01-08,83,133.50626
2023-01-09,92,79.73332
2023-01-10,68,87.262024
2023-01-11,105,87.16905
2023-01-12,107,98.73222
2023-01-13,151,116.432785
2023-01-14,125,159.04013
2023-01-15,74,128.60129
2023-01-16,71,82.32367
2023-01-17,57,78.956345
2023-01-18,54,72.46698
2023-01-19,111,76.60666
2023-01-20,134,112.26097
2023-01-21,154,116.99103
2023-01-22,75,127.63198
2023-01-23,59,65.412125
2023-01-24,90,80.886185
2023-01-25,66,115.186646
2023-01-26,96,90.33716
2023-01-27,109,116.2149
2023-01-28,140,131.35197
2023-01-29,51,119.701225
2023-01-30,72,65.78009
2023-01-31,76,87.111496
2023-02-01,64,92.5269
2023-02-02,98,105.73347
2023-02-03,95,139.36708
2023-02-04,143,147.44872
2023-02-05,58,120.76946
2023-02-06,69,64.66616
2023-02-07,47,92.84289
2023-02-08,70,80.82886
2023-02-09,104,85.50506
2023-02-10,137,118.71195
2023-02-11,111,140.10402
2023-02-12,42,116.53485
2023-02-13,48,62.334827
2023-02-14,44,81.999855
2023-02-15,62,78.301544
2023-02-16,75,82.70335
2023-02-17,105,118.341225
2023-02-18,127,135.48903
2023-02-19,59,119.288704
2023-02-20,69,68.99038
2023-02-21,45,75.19995
2023-02-22,55,90.26343
2023-02-23,60,81.64427
2023-02-24,110,94.51154
2023-02-25,137,133.92296
2023-02-26,62,120.10207
2023-02-27,36,68.72133
2023-02-28,52,82.45029
2023-03-01,84,101.239044
2023-03-02,76,96.10671
2023-03-03,99,126.18523
2023-03-04,157,145.64633
2023-03-05,83,116.73268
2023-03-06,61,72.80835
2023-03-07,76,92.26543
2023-03-08,87,79.70219
2023-03-09,64,104.45696
2023-03-10,120,122.8242
2023-03-11,120,161.97443
2023-03-12,59,123.36432
2023-03-13,55,83.70556
2023-03-14,51,94.96643
2023-03-15,60,79.78573
2023-03-16,93,87.81878
2023-03-17,101,132.22551
2023-03-18,167,139.48082
2023-03-19,56,112.643486
2023-03-20,44,79.83812
2023-03-21,59,96.387856
2023-03-22,75,83.32774
2023-03-23,68,87.93483
2023-03-24,111,122.20378
2023-03-25,94,135.08904
2023-03-26,50,122.0337
2023-03-27,51,76.48436
2023-03-28,47,92.53513
2023-03-29,49,87.199165
2023-03-30,59,79.70644
2023-03-31,107,102.118744
2023-04-01,135,218.57936
2023-04-02,47,130.76952
2023-04-03,71,76.40576
2023-04-04,35,94.77759
2023-04-05,49,71.89658
2023-04-06,64,80.067955
2023-04-07,42,141.30202
2023-04-08,71,147.1482
2023-04-09,56,113.67704
2023-04-10,62,70.266495
2023-04-11,38,95.87506
2023-04-12,62,83.351456
2023-04-13,57,81.51023
2023-04-14,111,109.03184
2023-04-15,147,135.59058
2023-04-16,28,84.60138
2023-04-17,48,73.17616
2023-04-18,37,95.84091
2023-04-19,43,84.9468
2023-04-20,74,85.22587
2023-04-21,77,146.87018
2023-04-22,111,147.59402
2023-04-23,53,118.01017
2023-04-24,44,72.2298
2023-04-25,53,94.11481
2023-04-26,45,81.86041
2023-04-27,58,88.62455
2023-04-28,78,105.891945
2023-04-29,123,142.35023
2023-04-30,48,127.79272
2023-05-01,51,87.51057
2023-05-02,35,80.61022
2023-05-03,55,112.582306
2023-05-04,62,77.13349
2023-05-05,107,124.24922
2023-05-06,133,157.77304
2023-05-07,54,121.11307
2023-05-08,60,70.4038
2023-05-09,56,98.0608
2023-05-10,41,81.653305
2023-05-11,49,85.15301
2023-05-12,108,105.428474
2023-05-13,99,137.78389
2023-05-14,51,123.37514
2023-05-15,47,71.75299
2023-05-16,48,92.41481
2023-05-17,41,85.34998
2023-05-18,73,90.11468
2023-05-19,84,122.17097
2023-05-20,120,144.82571
2023-05-21,51,121.244354
2023-05-22,36,72.812225
2023-05-23,35,92.81848
2023-05-24,60,87.49445
2023-05-25,55,92.93939
2023-05-26,84,104.429085
2023-05-27,72,121.42459
2023-05-28,29,124.27408
2023-05-29,44,73.88569
2023-05-30,53,93.22867
2023-05-31,48,89.44275
2023-06-01,59,90.19091
2023-06-02,80,167.11209
2023-06-03,141,152.25755
2023-06-04,43,90.22428
2023-06-05,46,75.3097
2023-06-06,37,86.72479
2023-06-07,99,89.050156
2023-06-08,62,90.036514
2023-06-09,87,121.58654
2023-06-10,132,139.57132
2023-06-11,43,81.83334
2023-06-12,52,70.84335
2023-06-13,47,72.10638
2023-06-14,50,81.632286
2023-06-15,41,89.39098
2023-06-16,67,130.62537
2023-06-17,111,141.22742
2023-06-18,29,92.50791
2023-06-19,43,74.225075
2023-06-20,60,90.85298
2023-06-21,44,82.299774
2023-06-22,67,77.571465
2023-06-23,64,119.504295
2023-06-24,129,128.61877
2023-06-25,66,92.763626
2023-06-26,49,70.477425
2023-06-27,57,91.30133
2023-06-28,56,91.81575
2023-06-29,73,89.52313
