data,Pickup_Actual,Pickup
2023-01-01,413,528.9736
2023-01-02,296,361.2917
2023-01-03,297,390.97745
2023-01-04,358,388.4111
2023-01-05,329,437.51935
2023-01-06,517,665.0554
2023-01-07,701,704.23804
2023-01-08,440,570.5096
2023-01-09,254,343.19275
2023-01-10,277,401.4502
2023-01-11,376,386.72003
2023-01-12,375,425.98517
2023-01-13,555,661.4598
2023-01-14,673,629.2337
2023-01-15,513,510.75693
2023-01-16,279,338.96164
2023-01-17,272,383.79462
2023-01-18,311,370.945
2023-01-19,336,403.05603
2023-01-20,506,710.0932
2023-01-21,655,686.7519
2023-01-22,464,491.34442
2023-01-23,223,349.49863
2023-01-24,280,377.15567
2023-01-25,300,406.89825
2023-01-26,330,388.32904
2023-01-27,571,663.2395
2023-01-28,631,662.7708
2023-01-29,442,521.9643
2023-01-30,252,336.1884
2023-01-31,296,386.09015
2023-02-01,321,418.76233
2023-02-02,353,437.7986
2023-02-03,652,578.3563
2023-02-04,670,826.2988
2023-02-05,462,516.8634
2023-02-06,271,308.45657
2023-02-07,306,370.65558
2023-02-08,334,375.7037
2023-02-09,367,392.77356
2023-02-10,563,658.95044
2023-02-11,662,714.8422
2023-02-12,423,507.2907
2023-02-13,237,335.37445
2023-02-14,273,394.75107
2023-02-15,328,375.6216
2023-02-16,379,391.35767
2023-02-17,577,644.23315
2023-02-18,682,699.88727
2023-02-19,414,476.00818
2023-02-20,365,401.01447
2023-02-21,413,410.20718
2023-02-22,308,437.6049
2023-02-23,320,399.933
2023-02-24,563,575.74774
2023-02-25,740,669.349
2023-02-26,530,481.00916
2023-02-27,250,310.23587
2023-02-28,295,356.15128
2023-03-01,369,405.8561
2023-03-02,346,430.17093
2023-03-03,630,572.1289
2023-03-04,752,792.008
2023-03-05,479,515.5865
2023-03-06,262,313.77106
2023-03-07,334,383.62573
2023-03-08,569,400.58133
2023-03-09,387,455.27316
2023-03-10,583,666.4371
2023-03-11,642,798.9377
2023-03-12,483,499.9697
2023-03-13,241,317.3586
2023-03-14,301,383.67908
2023-03-15,340,368.673
2023-03-16,358,384.0076
2023-03-17,576,690.3348
2023-03-18,615,737.12274
2023-03-19,432,499.80768
2023-03-20,227,322.55402
2023-03-21,248,359.81934
2023-03-22,316,387.81213
2023-03-23,356,411.59424
2023-03-24,574,719.751
2023-03-25,607,710.61615
2023-03-26,455,490.66812
2023-03-27,232,300.38358
2023-03-28,247,349.41177
2023-03-29,315,388.89142
2023-03-30,360,392.26004
2023-03-31,570,638.8207
2023-04-01,718,738.14624
2023-04-02,452,459.8947
2023-04-03,239,303.84958
2023-04-04,302,364.8294
2023-04-05,356,355.33252
2023-04-06,605,542.1312
2023-04-07,603,679.7455
2023-04-08,604,721.2446
2023-04-09,407,441.19998
2023-04-10,227,294.24332
2023-04-11,261,361.39685
2023-04-12,347,379.3722
2023-04-13,316,380.80743
2023-04-14,559,606.15826
2023-04-15,671,660.4251
2023-04-16,377,468.64545
2023-04-17,245,292.8551
2023-04-18,275,360.3191
2023-04-19,318,383.05496
2023-04-20,523,544.54834
2023-04-21,555,624.05804
2023-04-22,633,642.42944
2023-04-23,432,443.2088
2023-04-24,207,291.49332
2023-04-25,238,359.7355
2023-04-26,328,357.48236
2023-04-27,345,397.15433
2023-04-28,509,628.12427
2023-04-29,640,633.5286
2023-04-30,495,554.1559
2023-05-01,557,322.74036
2023-05-02,252,338.17374
2023-05-03,274,422.9447
2023-05-04,295,379.88058
2023-05-05,620,576.44867
2023-05-06,753,739.5888
2023-05-07,412,548.7999
2023-05-08,259,271.46378
2023-05-09,262,344.0667
2023-05-10,288,376.37125
2023-05-11,314,386.9613
2023-05-12,549,643.20575
2023-05-13,616,672.1132
2023-05-14,459,457.11694
2023-05-15,230,253.74876
2023-05-16,293,304.4079
2023-05-17,320,388.22223
2023-05-18,345,397.28665
2023-05-19,599,644.13696
2023-05-20,721,698.88184
2023-05-21,418,452.71057
2023-05-22,184,266.64542
2023-05-23,273,367.22925
2023-05-24,336,382.6609
2023-05-25,339,406.6042
2023-05-26,563,607.14154
2023-05-27,679,660.169
2023-05-28,473,468.68204
2023-05-29,233,254.132
2023-05-30,280,303.23337
2023-05-31,370,376.5747
2023-06-01,354,360.86047
2023-06-02,593,576.2256
2023-06-03,742,735.9697
2023-06-04,492,484.78842
2023-06-05,276,238.80829
2023-06-06,339,313.01065
2023-06-07,557,517.33093
2023-06-08,536,525.6737
2023-06-09,561,530.3057
2023-06-10,676,623.99506
2023-06-11,461,444.57562
2023-06-12,619,234.79247
2023-06-13,223,293.41077
2023-06-14,291,330.07007
2023-06-15,312,364.53055
2023-06-16,558,603.1306
2023-06-17,706,735.0137
2023-06-18,502,497.74243
2023-06-19,243,252.33556
2023-06-20,305,293.77872
2023-06-21,318,357.19077
2023-06-22,386,368.62534
2023-06-23,544,642.7258
2023-06-24,661,662.3645
2023-06-25,455,466.70993
2023-06-26,255,243.38455
2023-06-27,297,366.7408
2023-06-28,302,376.4819
2023-06-29,383,390.0483
